Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,752.000000,772.000000,751.950012,769.150024,769.150024,17348526
2024-03-04,774.400024,777.000000,769.000000,772.049988,772.049988,9789141
2024-03-05,769.500000,786.950012,769.099976,783.950012,783.950012,18088847
2024-03-06,783.650024,790.299988,772.900024,783.900024,783.900024,26710525
2024-03-07,790.000000,793.400024,783.000000,788.049988,788.049988,15497868
2024-03-11,790.000000,792.799988,770.549988,773.700012,773.700012,16778340
2024-03-12,770.000000,777.750000,757.349976,759.700012,759.700012,21529705
2024-03-13,758.650024,763.700012,743.000000,747.250000,747.250000,27950252
2024-03-14,749.900024,750.799988,734.049988,741.049988,741.049988,19730882
2024-03-15,739.250000,746.549988,723.000000,731.900024,731.900024,29792241
2024-03-18,727.099976,737.900024,722.099976,730.950012,730.950012,18145126
2024-03-19,730.000000,734.349976,721.150024,723.799988,723.799988,15205043
2024-03-20,725.150024,738.950012,719.799988,736.250000,736.250000,25405455
2024-03-21,742.000000,750.599976,740.549988,744.299988,744.299988,15161161
2024-03-22,743.849976,748.799988,741.400024,746.700012,746.700012,15535921
