Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,2927.000000,3000.000000,2925.000000,2984.250000,2984.250000,6066463
2024-03-04,2980.949951,3024.899902,2974.449951,3014.800049,3014.800049,5012210
2024-03-05,3011.550049,3014.800049,2972.100098,3000.399902,3000.399902,3553834
2024-03-06,2986.899902,3018.000000,2957.000000,3006.000000,3006.000000,3902838
2024-03-07,3005.949951,3006.199951,2951.100098,2957.850098,2957.850098,4157863
2024-03-11,2978.000000,2978.000000,2927.000000,2933.199951,2933.199951,5638565
2024-03-12,2933.199951,2976.000000,2930.050049,2950.850098,2950.850098,4716339
2024-03-13,2959.550049,2966.199951,2855.550049,2864.350098,2864.350098,6761067
2024-03-14,2879.399902,2897.050049,2851.000000,2862.949951,2862.949951,9285551
2024-03-15,2851.899902,2866.449951,2825.800049,2836.449951,2836.449951,9611909
2024-03-18,2840.000000,2883.449951,2833.050049,2878.949951,2878.949951,4584696
2024-03-19,2857.500000,2875.199951,2834.500000,2850.500000,2850.500000,4137882
2024-03-20,2855.899902,2890.000000,2848.050049,2887.500000,2887.500000,4244403
2024-03-21,2905.050049,2915.800049,2889.350098,2901.949951,2901.949951,6503468
2024-03-22,2899.949951,2920.000000,2894.699951,2910.050049,2910.050049,9763804
