Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,1128.000000,1140.750000,1117.400024,1128.699951,1128.699951,5927490
2024-03-04,1132.000000,1149.250000,1132.000000,1133.500000,1133.500000,5855090
2024-03-05,1133.050049,1179.750000,1133.050049,1168.900024,1168.900024,5375008
2024-03-06,1173.949951,1196.599976,1157.349976,1193.699951,1193.699951,5464839
2024-03-07,1209.849976,1213.599976,1189.449951,1199.699951,1199.699951,8903981
2024-03-11,1186.000000,1218.300049,1186.000000,1196.599976,1196.599976,6679208
2024-03-12,1200.000000,1208.000000,1197.800049,1204.250000,1204.250000,4249548
2024-03-13,1212.000000,1212.000000,1151.699951,1168.750000,1168.750000,7528096
2024-03-14,1173.949951,1199.699951,1163.550049,1194.599976,1194.599976,8569080
2024-03-15,1190.000000,1222.800049,1187.849976,1220.000000,1220.000000,10115416
2024-03-18,1225.000000,1230.550049,1215.199951,1225.300049,1225.300049,4141080
2024-03-19,1216.199951,1240.400024,1214.599976,1228.349976,1228.349976,7703719
2024-03-20,1228.250000,1239.000000,1223.650024,1231.800049,1231.800049,6596032
2024-03-21,1238.000000,1242.900024,1214.099976,1220.800049,1220.800049,9952250
2024-03-22,1226.949951,1245.000000,1222.000000,1236.099976,1236.099976,7840007
